timestamp,T_arith,E_arith,RT,stroop,two_back,word_pair,KSS,caffeine_min,sleep_q,stress
2025-05-04T05:47:11.368103,44.39,1,0.503,1.0,0.88,1.0,8,2160,3,2
2025-05-04T05:52:34.842585,74.213,0,0.73,0.8,0.75,0.75,9,2160,3,3
2025-05-04T19:05:43.376696,32.348,1,0.266,1.0,1.0,0.75,1,2160,3,4
2025-05-04T20:14:47.378939,36.077,2,0.363,1.0,1.0,0.75,3,2160,4,2
2025-05-04T23:52:49.369477,76.887,0,0.324,1.0,0.88,0.25,6,2160,3,4
2025-05-05T09:52:53.731078,62.98,0,0.289,1.0,0.88,1.0,5,2160,4,6
2025-05-10T02:15:53.883030,51.362,0,0.395,0.2,1.0,0.75,4,2160,3,4
